0,1,3,2
56949861,1172470,Adventure,1691683260
865284965,1172470,Action,1701360060
11190299,1172470,Action,1674662460
141102075,730,Free to Play,1698163260
128009116,730,Free to Play,1691683260
253146275,730,Action,1677945660
881026586,1326470,Early Access,1672588860
334870634,1326470,Indie,1677254460
128676049,1326470,Adventure,1683043260
110236078,1174180,Action,1673452860
131652973,1174180,Adventure,1677945660
348629459,1174180,Adventure,1674230460
297529276,990080,Adventure,1699286460
303153041,990080,Action,1702483260
49405299,990080,Action,1673625660
30221,271590,Action,1689955260
968604805,271590,Action,1676649660
37970695,271590,Adventure,1687795260
67190034,578080,Adventure,1700323260
331918714,578080,Adventure,1673884860
805508256,578080,Adventure,1688140860
193146049,1938090,Action,1679500860
274293701,1938090,Action,1681574460
145144738,1938090,Action,1682352060
447337363,1448440,RPG,1687449660
242134308,1448440,Adventure,1695916860
401154534,1448440,RPG,1674921660
402639292,1446780,Action,1696694460
136615993,1446780,Action,1692806460
388956584,1446780,Action,1689091260
878651273,1085660,Action,1676304060
985331385,1085660,Action,1683561660
284080219,1085660,Action,1703347260
86963,1811260,Simulation,1672675260
303383557,1811260,Simulation,1703520060
227731169,1811260,Sports,1699545660
450943738,1203220,Adventure,1675958460
274337746,1203220,Massively Multiplayer,1700928060
185168096,1203220,Massively Multiplayer,1701619260
188164039,381210,Action,1698681660
967891900,381210,Action,1677168060
994146715,381210,Action,1702396860
181842251,668580,RPG,1680278460
859354290,668580,Action,1673020860
344823647,668580,RPG,1677513660
217405219,588650,Adventure,1701878460
99844639,588650,Indie,1703606460
831095478,588650,Indie,1701187260
160312594,582010,Action,1675958460
149604010,582010,Action,1698681660
682888732,582010,Action,1679241660
95098087,1948980,Adventure,1676304060
31748,1948980,Early Access,1693497660
126176433,1948980,RPG,1700496060
322226274,359550,Action,1674748860
296508886,359550,Action,1684684860
274293701,359550,Action,1701100860
99042,1245620,RPG,1695139260
349849299,1245620,RPG,1689696060
406738241,1245620,Action,1702742460
30677576,1919590,Simulation,1680451260
20147424,1919590,Simulation,1677081660
319324951,1919590,Sports,1677427260
127939324,230410,RPG,1696003260
135389249,230410,Free to Play,1676131260
354201969,230410,Action,1696694460
982746324,1971650,RPG,1687363260
974092808,1971650,RPG,1688486460
122802399,1971650,RPG,1676476860
177503756,1142710,Strategy,1691424060
854489447,1142710,Strategy,1703001660
310582698,1142710,Strategy,1674489660
903469498,601150,Action,1685030460
125819952,601150,Action,1675526460
319216894,601150,Action,1674921660
149465954,264710,Adventure,1701273660
381473977,264710,Indie,1685462460
814673300,264710,Adventure,1677340860
101715313,548430,Action,1687104060
86524666,548430,Action,1676476860
193184459,548430,Action,1692979260
390999909,552990,Free to Play,1701360060
225062104,552990,Massively Multiplayer,1699113660
913776909,552990,Simulation,1675440060
327905291,1551360,Simulation,1701187260
17076618,1551360,Action,1703088060
39226126,1551360,Sports,1680883260
410574964,236390,Free to Play,1684425660
153422189,236390,Free to Play,1673712060
287099537,236390,Action,1703692860
345833118,1677280,Strategy,1685289660
276921976,1677280,Action,1702656060
173804139,1677280,Strategy,1700841660
187950159,1329410,Casual,1702051260
339623000,1329410,Casual,1700236860
49099,1329410,Strategy,1674921660
20796880,1196590,Action,1672761660
105759999,1196590,Action,1673971260
151821423,1196590,Action,1677427260
339851558,1222140,Action,1677168060
98992564,1222140,Adventure,1689782460
331276796,1222140,Adventure,1691337660
49811028,1222670,Adventure,1676304060
872960377,1222670,Simulation,1677081660
127893814,1222670,Simulation,1703260860
366859602,255710,Strategy,1698681660
32645,255710,Strategy,1696003260
191327446,255710,Simulation,1699891260
350571046,570,Strategy,1677772860
69529,570,Action,1697990460
835276041,570,Strategy,1703606460
334255106,1426210,Action,1695830460
408686012,1426210,Action,1701100860
795704879,1426210,Adventure,1676131260
407860842,648800,Adventure,1676304060
282840077,648800,Simulation,1677686460
257607765,648800,Indie,1676908860
821420142,1057090,Action,1675440060
860093164,1057090,Action,1697644860
361215933,1057090,Action,1676390460
22020477,594570,Action,1675267260
320592448,594570,Strategy,1703001660
301308924,594570,Strategy,1677254460
366264092,289070,Strategy,1698422460
403539072,289070,Strategy,1689177660
118910817,289070,Strategy,1679932860
858522281,322330,Indie,1677772860
8171545,322330,Simulation,1698508860
847275630,322330,Indie,1684512060
84508047,413150,Simulation,1683993660
903469498,413150,RPG,1673020860
847226019,413150,RPG,1701100860
107114604,1091500,RPG,1676649660
159058626,1091500,RPG,1696089660
913064998,1091500,RPG,1672761660
152693828,594650,Action,1676908860
87692887,594650,Action,1672848060
115948225,594650,Action,1680451260
186837607,108600,RPG,1674316860
70422423,108600,Simulation,1677686460
147057669,108600,RPG,1672848060
267733657,105600,RPG,1703865660
62288946,105600,RPG,1676044860
129228347,105600,Adventure,1702915260
980974554,1517290,Action,1691337660
244156732,1517290,Adventure,1700928060
970102988,1517290,Action,1693152060
9848354,2167580,Action,1673971260
179873040,2167580,RPG,1674748860
845774708,2167580,RPG,1676908860
393646284,883710,Action,1694793660
