3499,1611600,3.5,1674316800
3499,933110,4.0,1700668800
3499,1092790,3.5,1698854400
3499,1022450,4.5,1683302400
3499,594570,5.0,1675526400
3499,1342330,3.5,1674576000
241793,1448440,0.5,1677945600
325376,522470,5.0,1701100800
325376,534380,5.0,1701100800
433925,757310,4.5,1702742400
433925,1942280,4.5,1700668800
433925,435400,3.5,1695744000
433925,1255650,5.0,1694188800
433925,1227650,4.0,1677859200
489897,262060,4.0,1674489600
489897,1724320,4.0,1703260800
489897,931280,3.5,1703088000
489897,816340,5.0,1701100800
489897,882100,3.5,1700755200
489897,268500,3.5,1695830400
502562,334310,3.5,1677600000
502562,1972440,4.0,1700668800
502562,1172470,0.5,1696348800
502562,413150,3.5,1690387200
510763,1531430,0.5,1677254400
55,1300920,5.0,1698336000
55,1863750,4.0,1687190400
55,1598730,4.0,1694534400
55,433340,4.0,1683993600
570595,1062090,3.5,1703260800
570595,1361210,4.0,1700582400
570595,1267910,4.5,1680883200
570595,1245620,5.0,1677513600
570595,1794680,4.5,1673452800
570595,1522820,5.0,1690473600
570595,673880,5.0,1688572800
570595,1265820,4.5,1688054400
571516,1883090,4.0,1675872000
600441,1162520,3.0,1676304000
638334,1342260,4.5,1691596800
638334,520440,3.5,1687795200
638334,447530,4.5,1686412800
638334,222940,5.0,1683907200
664380,1174180,4.5,1675872000
664380,1659420,5.0,1675872000
664380,391220,3.5,1677686400
690038,1250650,4.5,1673193600
690038,582010,3.5,1679587200
690038,48700,3.5,1689955200
690038,304390,4.0,1681142400
708164,1161870,4.0,1676649600
708164,944020,4.0,1676390400
708164,1002560,3.5,1676304000
708164,1393350,3.5,1698508800
723926,312660,3.5,1675872000
723926,976730,4.5,1673712000
723926,1374840,4.0,1700323200
726865,1069640,2.0,1676649600
726865,1615290,4.5,1676563200
726865,1455220,2.0,1676563200
726865,379430,3.0,1676563200
726865,391220,5.0,1703347200
770877,1086940,4.5,1678377600
809487,1506440,5.0,1677168000
965332,766570,5.0,1675872000
965332,1714320,4.5,1702051200
965332,440,4.0,1688486400
965332,730,4.0,1679673600
965332,227940,3.5,1678809600
1096494,730,4.0,1677859200
1096494,1739650,2.5,1675180800
1096494,440,4.5,1672675200
1096494,219990,4.5,1703606400
1096494,1614550,3.5,1699286400
1096494,460930,4.5,1691251200
1096494,747200,3.5,1691164800
1096494,581320,4.5,1690128000
123,294100,4.5,1676131200
1337553,1069640,4.5,1676476800
1361016,1517960,3.0,1676649600
1361016,880950,3.5,1675958400
1361016,1230140,4.0,1675612800
1361016,264710,4.5,1675440000
1402020,883710,3.5,1677600000
1402020,418370,5.0,1677600000
1402020,1938090,0.5,1703347200
1402020,367520,5.0,1700928000
1402020,977950,4.5,1698249600
1402020,578080,3.5,1691769600
1402020,219740,4.5,1684944000
1402020,322330,4.5,1684857600
1406141,2267740,4.0,1677945600
1406141,2313130,1.0,1677427200
1406141,2115700,4.0,1674230400
1406141,1468810,3.0,1673107200
1406141,1291010,4.5,1701014400
1406141,2155310,5.0,1700496000
